"","event_type","freq"
"1","Thunderstorm Wind",155128
"2","Hail",123802
"3","Flash Flood",37729
"4","Winter Weather",37315
"5","Drought",33564
"6","Winter Storm",32462
"7","High Wind",29220
"8","Heavy Snow",24094
"9","Flood",22011
"10","Marine Thunderstorm Wind",14912
"11","Tornado",13549
"12","Heavy Rain",12337
"13","Strong Wind",10049
"14","Frost/Freeze",7927
"15","Extreme Cold/Wind Chill",7044
"16","Blizzard",7013
"17","Heat",6790
"18","Dense Fog",6655
"19","Lightning",6237
"20","Excessive Heat",6046
"21","Cold/Wind Chill",4719
"22","High Surf",4503
"23","Ice Storm",4002
"24","Funnel Cloud",3845
"25","Wildfire",3530
